eccentricity	inclination	objectname	semimajor_axis
0.0774735	10.314156177	742	3.0128085
0.0910462	5.04736256554	752	2.4631858
0.1197309	4.35979685128	758	3.2019674
0.0447079	2.11189641044	761	2.8632156
0.0791362	10.0992651919	766	3.0214089
0.154481	1.36670269879	767	3.1181813
0.0873615	10.2691830742	775	3.012459
0.2587967	14.4480095773	778	3.1803786
0.0696667	18.1859464927	780	3.1169848
0.0831618	15.1161240815	787	2.5395945
0.0631613	9.83591768383	798	3.0146293
0.1251346	14.162758061	801	2.6053884
0.0850699	10.3524900006	807	3.0184826
0.1332889	4.86775011095	808	2.7451218
0.0612736	2.2788643325	811	2.896927
0.1358967	12.8572113847	812	2.6593817
0.0438981	2.11311190706	832	2.8643956
0.0875772	10.1061151135	833	3.0100529
0.0359464	11.9980148255	845	2.9395575
0.1507581	1.53886889733	846	3.1279071
0.0686051	3.72025018905	847	2.7827557
0.1418465	1.93437503044	848	3.1064583
0.2406418	23.8248005515	852	2.3626532
0.0996598	15.1047055818	875	2.5538622
0.0794927	10.5768974011	876	3.0104552
0.1877301	2.13940585529	878	2.3605428
0.096465	14.9238775391	879	2.5305515
0.1428761	5.39083715268	883	2.2381477
0.1504162	2.59121395262	885	3.0976453
0.0744658	10.3771223322	890	3.0234811
0.175833	26.2427308579	895	3.2145878
0.0916746	15.005306258	897	2.5431326
0.0500116	17.9633032981	909	3.5432314
0.2066262	4.96725527362	933	2.3686669
0.1526229	1.6197439706	936	3.1383232
0.1574907	1.53199666586	938	3.1608969
0.2514145	30.832539234	945	2.6374166
0.1448305	0.712050169454	946	3.1228843
0.1506563	1.32320894817	954	3.1370052
0.062355	2.01473424625	962	2.9057051
0.1522917	13.0865639137	966	2.7193468
0.0761297	16.3330614665	973	3.2235778
0.0485242	2.16648003409	975	2.834136
0.1673383	1.59578490243	981	3.1010406
0.139836	1.32567332507	991	3.1437123
0.0458774	2.0799211626	993	2.8612651
0.157296	1.55650524264	996	3.0936166
0.1648036	11.4342975309	997	2.6698392
0.1511309	1.24508371423	1003	3.1483437
0.0758886	4.03527352672	1020	2.7902385
0.1522545	1.38049775709	1027	3.1590309
0.0623724	2.23286027486	1029	2.8903262
0.0920255	10.7030778665	1033	3.0028641
0.2039419	17.0265853232	1040	3.1176577
0.1538085	3.56088118032	1044	2.5767501
0.1495715	13.1571916369	1050	2.6250451
0.0939233	16.5125167353	1070	3.2186033
0.1758706	1.39745083	1073	3.1746463
0.152972	1.13203198809	1074	3.1567654
0.0725061	10.3673833307	1075	3.0136191
0.047267	2.08754081013	1079	2.8738829
0.1480184	1.34946901681	1082	3.1295205
0.0614414	9.32125479235	1086	3.1653567
0.0802225	9.81222800469	1087	3.0150044
0.1550829	13.5455428315	1094	2.5465162
0.0596644	9.90560683385	1095	3.0252927
